Id;Ano;Mes;Fornecedor_Id;Valor_dia;Regiao_Id;Zona_Id;Categoria_Id;;;;;;;;0,180690245;3-superartista;0,227181974;2-ArtistasMedios;0,592127781;1-PequenosArtistas
1;2026;11;789;3500;1;1;1;;;;;;;;;;;;;
5;2026;12;793;4200;23;5;1;;;;;;;;;;;;;
6;2026;11;794;5000;24;5;1;;;;;;;;;;;;;
7;2026;11;795;7400;25;5;1;;;;;;;;;;;;;
8;2026;11;796;5000;13;3;1;;;;;;;;;;;;;
10;2026;12;798;7400;26;5;1;;;;;;;;;;;;;
12;2026;11;800;3500;14;3;1;;;;;;;;;;;;;
14;2026;12;802;5000;15;3;1;;;;;;;;;;;;;
16;2026;1;804;14800;27;5;2;;;;;;;;;;;;;
17;2026;11;805;7000;2;2;1;;;;;;;;;;;;;
19;2026;10;807;6500;28;5;1;;;;;;;;;;;;;
24;2026;9;809;6000;29;5;1;;;;;;;;;;;;;
26;2026;5;811;7400;13;3;1;;;;;;;;;;;;;
27;2026;4;812;4000;13;3;1;;;;;;;;;;;;;
29;2026;9;814;7400;27;5;1;;;;;;;;;;;;;
30;2026;9;815;5000;28;5;1;;;;;;;;;;;;;
35;2026;6;819;6000;26;5;1;;;;;;;;;;;;;
36;2026;8;820;2500;29;5;1;;;;;;;;;;;;;
42;2026;6;824;6500;28;5;1;;;;;;;;;;;;;
43;2026;10;825;6500;1;1;1;;;;;;;;;;;;;
44;2026;6;5;233,3333333;32;6;1;;;;;;;;;;;;;
45;2026;12;826;66666,66667;26;5;3;;;;;;;;;;;;;
46;2026;10;827;6500;24;5;1;;;;;;;;;;;;;
47;2026;10;828;7400;23;5;1;;;;;;;;;;;;;
48;2026;6;829;3000;3;2;1;;;;;;;;;;;;;
49;2026;4;830;6500;25;5;1;;;;;;;;;;;;;
52;2026;5;833;7000;24;5;1;;;;;;;;;;;;;
54;2026;3;835;7400;3;2;1;;;;;;;;;;;;;
57;2026;4;838;7400;2;2;1;;;;;;;;;;;;;
61;2026;6;841;7400;25;5;1;;;;;;;;;;;;;
62;2026;5;842;7400;28;5;1;;;;;;;;;;;;;
65;2026;1;845;7400;30;5;1;;;;;;;;;;;;;
67;2026;5;847;2625;32;6;1;;;;;;;;;;;;;
69;2026;5;849;10000;20;4;2;;;;;;;;;;;;;
70;2026;4;850;7400;1;1;1;;;;;;;;;;;;;
73;2026;5;852;6500;32;6;1;;;;;;;;;;;;;
75;2026;3;854;5000;16;3;1;;;;;;;;;;;;;
76;2026;5;855;7400;4;2;1;;;;;;;;;;;;;
77;2026;6;828;22200;1;1;2;;;;;;;;;;;;;
