Id;Ano;Mes;Fornecedor_Id;Valor_dia;Regiao_Id;Zona_Id;Categoria_Id
45;2026;12;826;66666,66667;26;5;3
82;2026;4;859;100000;2;2;3
84;2026;3;840;56000;20;4;3
172;2026;1;866;50000;32;6;3
189;2026;1;833;60000;29;5;3
203;2026;1;840;65000;13;3;3
305;2026;1;983;130000;14;3;3
358;2026;11;1016;50000;24;5;3
409;2026;12;1048;50000;28;5;3
413;2026;12;1051;112320;24;5;3
635;2026;2;850;90000;26;5;3
2827;2025;9;541;98000;32;6;3
2832;2025;9;1740;70000;32;6;3
2833;2025;9;1740;70000;26;5;3
2840;2025;4;1650;52000;1;1;3
2842;2025;5;1745;290000;2;2;3
2843;2025;5;1746;100000;10;2;3
2857;2025;5;1754;90000;1;1;3
2858;2025;6;1754;90000;3;2;3
2859;2025;8;1754;90000;28;5;3
2860;2025;6;1754;90000;1;1;3
2861;2025;9;1754;90000;1;1;3
2862;2025;5;1755;60000;1;1;3
2867;2025;6;1758;120000;1;1;3
2868;2025;7;1759;150000;1;1;3
2872;2025;3;1754;180000;1;1;3
2873;2025;11;1754;180000;1;1;3
2874;2025;9;1754;180000;31;5;3
2883;2025;6;1746;80000;26;5;3
2884;2025;5;1746;60750;1;1;3
2885;2025;9;1746;67375;32;6;3
2892;2025;6;1766;130000;30;5;3
2894;2025;6;826;110000;29;5;3
2897;2025;5;1770;120000;26;5;3
2898;2025;9;1754;60000;32;6;3
2902;2025;9;1772;52350;17;3;3
2903;2025;5;1754;120000;17;3;3
2904;2025;6;1754;138333,33;16;3;3
2907;2025;5;1773;63000;1;1;3
2915;2025;2;1777;136000;1;1;3
2926;2025;5;1783;270000;13;3;3
2939;2025;5;1791;80000;23;5;3
2947;2025;5;1740;90000;25;5;3
2956;2025;9;1016;65000;15;3;3
2957;2025;2;1016;65000;14;3;3
2958;2025;5;1796;53500;14;3;3
2959;2025;5;1797;80000;8;2;3
2960;2025;7;1798;100000;8;2;3
2962;2025;6;1746;88600;1;1;3
2963;2025;5;1746;88600;1;1;3
2964;2025;7;1746;160000;7;2;3
2976;2025;3;983;60000;5;2;3
2977;2025;6;983;60000;10;2;3
2978;2025;9;983;60000;13;3;3
2979;2025;4;983;60000;13;3;3
2983;2025;5;1803;71050;10;2;3
2987;2025;8;1754;70000;1;1;3
2988;2025;5;1754;70000;32;6;3
2989;2025;7;1754;70000;28;5;3
2990;2025;9;1754;70000;1;1;3
2992;2025;6;1807;90000;1;1;3
2996;2025;9;1809;160000;13;3;3
2997;2025;1;1809;160000;1;1;3
3003;2025;5;1812;330000;26;5;3
3008;2025;5;1814;90000;7;2;3
3009;2025;3;1815;50000;21;4;3
3020;2025;6;1821;230000;17;3;3
3021;2025;6;1821;230000;17;3;3
3022;2025;5;1821;230000;17;3;3
3023;2025;8;1822;80000;1;1;3
3024;2025;3;1823;60000;1;1;3
3025;2025;6;1823;60000;1;1;3
3029;2025;6;1740;70000;32;6;3
3030;2025;6;1740;70000;28;5;3
3031;2025;11;1754;100000;1;1;3
3033;2025;5;1826;180000;1;1;3
3036;2025;5;1828;110498;31;5;3
3038;2025;5;1758;75000;7;2;3
3043;2025;1;1758;91666,67;17;3;3
3045;2025;5;1831;340000;1;1;3
3047;2025;5;1833;58000;24;5;3
3052;2025;6;1807;141666,67;1;1;3
3055;2025;4;833;60000;3;2;3
3056;2025;7;833;60000;29;5;3
3066;2025;5;1839;190000;32;6;3
3071;2025;6;809;52933,33;1;1;3
3078;2025;8;1777;96666;4;2;3
3079;2025;7;1777;135000;11;2;3
3080;2025;3;1838;55000;1;1;3
3081;2025;2;1838;55000;7;2;3
3083;2025;4;1838;55000;32;6;3
3085;2025;7;983;58000;32;6;3
3086;2025;7;983;58000;32;6;3
3087;2025;12;983;58000;13;3;3
3088;2025;10;983;58000;13;3;3
3089;2025;6;840;180000;13;3;3
3090;2025;5;840;200000;13;3;3
3093;2025;10;983;50000;5;2;3
3095;2025;5;983;50000;13;3;3
3096;2025;5;850;130000;13;3;3
3097;2025;5;840;150000;13;3;3
3100;2025;4;1838;120000;5;2;3
3117;2025;1;1843;120000;25;5;3
3120;2025;6;1050;55000;32;6;3
3125;2025;9;1599;50000;24;5;3
3128;2025;2;1848;80000;29;5;3
3129;2025;7;1848;50000;31;5;3
3131;2025;6;1807;200000;29;5;3
3135;2025;5;1850;95000;28;5;3
3138;2025;6;1754;120000;14;3;3
3139;2025;9;1754;120000;1;1;3
3141;2025;7;850;70000;1;1;3
3142;2025;6;1807;360000;1;1;3
3143;2025;6;1807;150000;32;6;3
3144;2025;6;1807;130000;1;1;3
3145;2025;6;1758;90000;3;2;3
3146;2025;6;1853;170000;3;2;3
3151;2025;5;1850;135000;29;5;3
3153;2025;6;1758;90000;4;2;3
3171;2025;8;1754;50000;29;5;3
3172;2025;6;1754;50000;25;5;3
3179;2025;5;1746;50000;9;2;3
3188;2025;6;1807;80000;27;5;3
3216;2025;7;1880;60000;1;1;3
3217;2025;7;1880;60000;1;1;3
3222;2025;8;1754;70000;3;2;3
3227;2025;8;1758;183333,34;31;5;3
3241;2025;4;1754;115000;1;1;3
3255;2025;6;1807;60000;16;3;3
3269;2025;5;1898;250000;2;2;3
3277;2025;4;1904;140000;2;2;3
3281;2025;5;840;530000;1;1;3
3283;2025;4;1906;60000;1;1;3
3284;2025;4;1650;130500;5;2;3
3291;2025;4;1650;71527,77;3;2;3
3296;2025;5;1910;80000;4;2;3
3299;2025;5;1911;65000;14;3;3
3313;2025;5;1916;200000;17;3;3
3319;2025;5;1918;300000;22;4;3
